Time ,Thermistor,Potentiometer,
1696,479,595,
1697,479,594,
1698,479,594,
1699,480,595,
1700,480,595,
1701,479,594,
1702,479,594,
1703,479,595,
1704,479,595,
1705,479,594,
1706,479,595,
1707,479,595,
1708,479,594,
1709,479,595,
1710,479,595,
1711,479,594,
1712,479,595,
1713,479,595,
1714,479,595,
1715,479,594,
1716,479,595,
1717,479,595,
1718,479,594,
1719,479,595,
1720,479,595,
1721,479,594,
1722,479,594,
1723,479,594,
1724,479,595,
1725,479,594,
1726,479,594,
1727,479,595,
1728,479,595,
1729,479,594,
1730,479,595,
1731,479,595,
1732,479,595,
1733,479,595,
1734,479,595,
1735,479,594,
1736,479,594,
1737,479,594,
1738,479,594,
1739,479,594,
1740,479,595,
1741,479,595,
1742,479,594,
1743,479,594,
1744,479,595,
1745,479,595,
1746,479,594,
1747,479,595,
1748,479,594,
1749,479,595,
1750,480,594,
1751,479,595,
1752,479,594,
1753,479,594,
1754,479,595,
1755,479,595,
1756,479,594,
1757,479,595,
1758,479,595,
1759,479,594,
1760,479,595,
1761,479,595,
1762,479,594,
1763,479,595,
1764,480,595,
1765,479,594,
1766,479,594,
1767,479,594,
1768,479,595,
1769,479,594,
1770,479,595,
1771,479,595,
1772,479,594,
1773,479,594,
1774,479,595,
1775,479,595,
1776,479,594,
1777,479,594,
1778,479,595,
1779,479,594,
1780,479,595,
1781,479,595,
1782,479,594,
1783,479,594,
1784,480,594,
1785,479,595,
1786,479,594,
1787,479,594,
1788,479,595,
1789,479,594,
1790,479,594,
1791,479,595,
1792,479,595,
1793,479,594,
1794,479,594,
1795,479,595,
1796,479,595,
1797,479,594,
1798,480,595,
1799,479,595,
1800,479,594,
1801,479,595,
1802,480,595,
1803,479,594,
1804,480,594,
1805,479,595,
1806,479,594,
1807,479,594,
1808,479,595,
1809,479,595,
1810,479,594,
1811,479,595,
1812,479,595,
1813,479,594,
1814,479,594,
1815,479,594,
1816,479,595,
1817,479,595,
1818,480,594,
1819,479,595,
1820,479,594,
1821,479,595,
1822,480,595,
1823,479,594,
1824,479,594,
1825,479,595,
1826,479,595,
1827,479,594,
1828,480,595,
1829,480,595,
1830,479,594,
1831,480,594,
1832,479,595,
1833,479,595,
1834,479,594,
1835,479,595,
1836,480,595,
1837,479,594,
1838,480,595,
1839,480,595,
1840,479,594,
1841,479,595,
1842,480,595,
1843,480,595,
1844,479,594,
1845,480,595,
1846,479,595,
1847,479,594,
1848,479,594,
1849,480,595,
1850,479,595,
1851,479,594,
1852,480,595,
1853,479,595,
1854,479,595,
1855,480,594,
1856,480,595,
1857,479,595,
1858,479,594,
1859,479,595,
1860,480,595,
